TICKER;EMPRESA;CNPJ
EUCA4;EUCATEX;56.643.018/0001-66
EVEN3;EVEN CONSTRUTORA E INCORPORADORA;43.470.988/0001-65
BAUH3;EXCELSIOR ALIMENTOS;95.426.862/0001-97
BAUH4;EXCELSIOR ALIMENTOS;95.426.862/0001-97
EZTC3;EZ TEC;08.312.229/0001-73
FHER3;FERTILIZANTES HERINGER;22.266.175/0001-88
FLRY3;FLEURY;60.840.055/0001-31
POWE3;FOCUS ENERGIA;26.735.020/0001-02
FRAS3;FRAS-LE;88.610.126/0001-29
GFSA3;GAFISA;01.545.826/0001-07
GSHP3;GENERAL SHOPPING BRASIL;08.764.621/0001-53
GGBR3;GERDAU;33.611.500/0001-19
GGBR4;GERDAU;33.611.500/0001-19
NINJ3;GET NINJAS;14.127.813/0001-51
GOLL4;GOL LINHAS AEREAS INTELIGENTES;06.164.253/0001-87
CGRA3;GRAZZIOTIN;92.012.467/0001-70
CGRA4;GRAZZIOTIN;92.012.467/0001-70
GRND3;GRENDENE;89.850.341/0001-60
GGPS3;GRUPO GPS;09.229.201/0001-30
GMAT3;GRUPO MATEUS;24.990.777/0001-09
SOMA3;GRUPO SOMA;10.285.590/0001-08
VAMO3;GRUPO VAMOS;23.373.000/0001-32
GUAR3;GUARARAPES CONFECCOES;08.402.943/0001-52
GUAR4;GUARARAPES CONFECCOES;08.402.943/0001-52
HAPV3;HAPVIDA;63.554.067/0001-98
HBRE3;HBR REALTY;14.785.152/0001-51
HBOR3;HELBOR EMPREENDIMENTOS;49.263.189/0001-02
HGTX3;HERING;78.876.950/0001-71
HBSA3;HIDROVIAS DO BRASIL;12.648.327/0001-53
MATD3;HOSPITAL MATER DEI;16.676.520/0001-59
HOOT3;HOTEIS OTHON;33.200.049/0001-47
HOOT4;HOTEIS OTHON;33.200.049/0001-47
HYPE3;HYPERA PHARMA;02.932.074/0001-91
IDNT3;IDEIASNET;02.365.069/0001-44
IGTA3;IGUATEMI EMPRESA DE SHOPPING CENTERS;51.218.147/0001-93
ROMI3;INDUSTRIAS ROMI;56.720.428/0001-63
IFCM3;INFRACOMMERCE;38.456.921/0001-36
PARD3;INSTITUTO HERMES PARDINI;19.378.769/0001-76
INTB3;INTELBRAS;82.901.000/0001-27
MYPK3;IOCHPE MAXION;61.156.113/0001-75
IRBR3;IRB – BRASIL RESSEGUROS;33.376.989/0001-91
ITUB3;ITAU UNIBANCO HOLDING;60.872.504/0001-23
